city,year,month,temp_mean_c,temp_min_c,temp_max_c,rainy_days,rainy_day_frac
Ploiești,2025,10,11.47,5.5,19.1,12,0.8
Sibiu,2023,1,3.740322580645161,-4.7,14.1,19,0.6129032258064516
Sibiu,2023,2,1.0642857142857143,-16.4,14.1,19,0.6785714285714286
Sibiu,2023,3,6.087096774193548,-5.2,18.8,16,0.5161290322580645
Sibiu,2023,4,8.261666666666667,-1.1,19.1,24,0.8
Sibiu,2023,5,14.706451612903225,4.3,24.1,20,0.6451612903225806
Sibiu,2023,6,18.3,10.6,29.6,26,0.8666666666666667
Sibiu,2023,7,21.333870967741937,10.0,32.9,23,0.7419354838709677
Sibiu,2023,8,21.730645161290322,11.4,33.2,19,0.6129032258064516
Sibiu,2023,9,18.91166666666667,10.8,29.5,10,0.3333333333333333
Sibiu,2023,10,13.47258064516129,0.1,27.7,11,0.3548387096774194
Sibiu,2023,11,6.201666666666667,-4.8,18.3,22,0.7333333333333333
Sibiu,2023,12,3.1193548387096777,-5.0,16.4,12,0.3870967741935484
Sibiu,2024,1,0.75,-8.7,12.5,15,0.4838709677419355
Sibiu,2024,2,6.789655172413793,-5.4,17.9,9,0.3103448275862069
Sibiu,2024,3,8.33548387096774,-0.0,25.9,18,0.5806451612903226
Sibiu,2024,4,12.798333333333334,0.7,29.2,15,0.5
Sibiu,2024,5,14.904838709677419,5.5,24.6,20,0.6451612903225806
Sibiu,2024,6,21.60666666666667,12.3,33.0,20,0.6666666666666666
Sibiu,2024,7,23.379032258064516,12.0,35.5,16,0.5161290322580645
Sibiu,2024,8,22.9741935483871,12.8,35.3,15,0.4838709677419355
Sibiu,2024,9,17.48,7.1,29.5,10,0.3333333333333333
Sibiu,2024,10,11.39516129032258,0.3,23.5,11,0.3548387096774194
Sibiu,2024,11,3.68,-8.3,15.8,10,0.3333333333333333
Sibiu,2024,12,2.017741935483871,-4.6,11.3,12,0.3870967741935484
Sibiu,2025,1,1.9903225806451612,-8.8,15.5,7,0.22580645161290322
Sibiu,2025,2,0.32321428571428573,-9.5,13.7,10,0.35714285714285715
Sibiu,2025,3,7.862903225806452,-6.7,23.8,17,0.5483870967741935
Sibiu,2025,4,10.636666666666667,-4.0,25.4,18,0.6
Sibiu,2025,5,12.953225806451613,2.0,25.5,26,0.8387096774193549
Sibiu,2025,6,21.401666666666664,10.9,33.4,10,0.3333333333333333
Sibiu,2025,7,21.843548387096774,10.2,36.0,22,0.7096774193548387
Sibiu,2025,8,21.414516129032258,7.7,33.6,10,0.3225806451612903
Sibiu,2025,9,18.005,5.8,30.4,13,0.43333333333333335
Sibiu,2025,10,9.233333333333333,2.9,15.9,15,1.0
